"Sitzungsland","Sitzungsort","Monat","Empfehlungsplattform","Landing-Page-URL","Durchschnittliche Sitzungsdauer","Seitenaufrufe pro Sitzung","Absprünge","Sitzungen, in denen Artikel zum Warenkorb hinzugefügt wurden","Sitzungen, bei denen der Checkout erreicht wurde","Sitzungen, bei denen der Checkout abgeschlossen wurde","Sitzungen"
"Germany","Gütersloh","2025-03-01","alphabet","https://www.whiskyquartier.de/products/glenfiddich-15-years-old-0-7l?variant=50038793011537&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",0,1,1,0,0,0,1
"United Kingdom","Montrose","2025-03-01","whiskybase","https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l-kopie",0,1,1,0,0,0,1
"Brazil","Joinville","2025-03-01","alphabet","https://www.whiskyquartier.de/collections/islay",0,1,1,0,0,0,1
"Germany","Munich","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHRdfuuL2NVMGSi5rZz1gsyT7kZkLujbGHLV5ln1lTfXqKjjcIW3nCVk2SA_aem_P00ekGHpOqithj6zoWvaLg",0,1,1,0,0,0,1
"Germany","Peine","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHRAsVK30B5oUgKN01vy1wFG_6ZtoOgJzTU2WAjaB24WTwQJR_Xu6GMs_HQ_aem_AY02F5YUWX3JwrFJNFxBvg",0,1,1,0,0,0,1
"Germany","Nuremberg","2025-03-01","alphabet","https://www.whiskyquartier.de/?srsltid=AfmBOop40BMqLBzV_Sh2XUS5UhG2YmZx0PU_LfXW55p3nFW5Ot_werET",108,5,0,0,0,0,1
"Egypt","Cairo","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHZel8Iu6awI4PcxXC1B8DEYWkU6ix9N4RDAcx97N5WIT66JHLVVNIDq17w_aem_Dkv34QCHVrmz_rdEBqMFdQ",232,10,0,0,0,0,1
"Germany","Jena","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwY2xjawJCyh5leHRuA2FlbQEwAGFkaWQAAAYbueMGZwEdE9py6BTj3LS1buxzl7-bmyjGInFMpis3qnn1YURD0zIW2oBXWDe0lbB7_aem_MQEt-B8MYTXly6_r4bdWIA",146.33333333333334,3.6666666666666665,2,0,0,0,3
"Germany",,"2025-03-01","alphabet","https://www.whiskyquartier.de/products/macallan-folio-8-0-7l?srsltid=AfmBOoofxkXUjvSwfhikCrBNd0rt5pbMxxF6aJnKX5_zMOLge68xoj-I",0,1,1,0,0,0,1
"Germany","Steinach","2025-03-01","alphabet","https://www.whiskyquartier.de/products/1824-gold-0-7l-kopie?srsltid=AfmBOooVPzG6CFg7A0xHPaSHjy_p3Te3-1RT80tivzJZzWN_Jt8W1kSu",0,1,1,0,0,0,1
"Germany","Reutlingen","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBpqih3iUF6Rb_BMToyW-udhsXO9KFWLUqkC7xyaDISHaFJ1ZFM5YzNqZGOg_aem_PfA6EzafsyLiqwvbI5Hpmg",59,3,0,0,0,0,1
"Germany","Ansbach","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHeCz00iB8b6OE2G-BTP3fz3v9MOvw1iE81tQaQvz7EIHOrBpB0YQU-SXKA_aem_SvKGO_aEPgdcERYjrVQBZg",0,1,1,0,0,0,1
"Germany","Neunkirchen","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHb0s8q4Q7iutQ7F9AWoz8kGvIx6GmVEpY-hig2B4_08pQtKXfG1HMZBDvw_aem_SbigxYvSxASFg8-q8ql-og",0,1,1,0,0,0,1
"Germany","Rudelzhausen","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHREWFRAfKKsUN8wW6jjM9MGtMjWc1oCOX8zZzPEMTTu7ARsq3qL1EUa_0Q_aem_wDxGm9DDxBVHL_6FYFdR_w",0,1,1,0,0,0,1
"Germany","Wuppertal","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHTw4VgxoyfGtPh3KBBzM_lweyu5SVAydI8t-yNJo_-tmSEmYnm02uUuyDw_aem_IQpF2szYpJTnVq-0sIU1pQ",71,3,0,0,0,0,1
"Germany","Schwäbisch Gmünd","2025-03-01","alphabet","https://www.whiskyquartier.de/products/ardnahoe-5-yo-the-inaugural-release-0-7l?variant=50752350552401&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",102,8,0,1,1,1,1
"Germany","Bad Salzuflen","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHcpSYXDrxqUIuDkoBgyn770UsbZatoJvoG5lUgcTDK7529VjIf1izWeJGg_aem_2SiLSnvyfqcu3x3ens7h5A",10,2,0,0,0,0,1
"The Netherlands","Amsterdam","2025-03-01","direct","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l",85,11,0,0,0,0,1
"Germany","Berlin","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHVBhQKa3-V6_W3g8GNMVaeFkFpmF6OKyvt-qe7VzgNizLFinWnIO0Amsmg_aem_Jcw3I2W7n3TkwlmlV-Hpgg",31,3,0,0,0,0,1
"Germany","Geislingen an der Steige","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHSD8oEoCn4xf5J8ZShsalOL4d6eFszf0LtTA1qOwa8ND6gMZK-SUZwRmfw_aem_sis9HYi5DAZmv6MGDXxdtg",0,1,1,0,0,0,1
"Germany","Düsseldorf","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHVcSA_VLHabyW0gGXBMMWSvQisDVXQWIHKhi_2bh-SbNpK-59RjGXbMnhw_aem_woRxGIunPVXLHv0Ibs3xhg",9,1,0,1,0,0,1
"Germany","Weilburg","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHVUm3bLoeD0NAEL5NBAtqd6b5dGd9CZfRf880jaX24yI6ijdHeQeNIAXHg_aem_M3EugMIooIZur7PlGk1j7Q",0,1,1,0,0,0,1
"Germany","Karlsruhe","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHauf2K8NRYxailpVc985uwVjwIfpe6j7ePBO3kbeqr5DLsnNaZkbfx2U1Q_aem_04Ss-nt2lIGEAyFc05C7aA",0,1,1,0,0,0,1
"Germany","Erfurt","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHUma9TX25Tf4_cz1shXSPeOmMnZRVVYNI6WJDJKsNGvwqbbQ1xkyxxlOCw_aem_bdBPBTIzDJlxtAefwUggSw",373,18,0,0,0,0,1
"Germany","Cologne","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHVg4naS8-qWoHg5ga2zKe7aBILYT8ile3byZrkbX4vIeVPSAvgPHg2WXCQ_aem_J4euy8jJWvImjmtQAzADiQ",0,1,1,0,0,0,1
"Germany","Ludwigsburg","2025-03-01","direct","https://www.whiskyquartier.de/collections/neu-im-shop",14,3,0,0,0,0,1
"Germany","Bamberg","2025-03-01","alphabet","https://www.whiskyquartier.de/products/dingle-single-cask-the-village-2025-0-7l?srsltid=AfmBOoo2jsWgRl-QMsCRC3uxKoROn7McXn1adcwtS0GybbaMuxeYSB8E",0,1,1,0,0,0,1
"Germany","Wiehl","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHcaMF9vTgnkHYndy8ObstQEgsgqxVJR1bE11YzYV6qK6Ux3BYS9DS5AX0w_aem_JieWJBgTdV3FT9MyXnXjRA",0,1,1,0,0,0,1
"United Kingdom","London","2025-03-01","whiskybase","https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l-kopie",0,1,1,0,0,0,1
"Germany","Bonn","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHTI_DbNkFMuoaJhnAbdts2S5ECHzXznXjFYb3IPmIRoxhW57dhMVgfIsLw_aem_UbUtvUZ_DjjRv5Np1P84Wg",67,4,0,0,0,0,1
"Germany","Homberg (Efze)","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHeIIuQYBi128w-7g6DdWGEFyqsENd1QKT6O52xkHjPS_EmoW6ZLzTAPYSA_aem_B0LuToEOkokMr5XNPu8gVg",0,1,1,0,0,0,1
"Germany","Mendig","2025-03-01","alphabet","https://www.whiskyquartier.de/products/glenfiddich-15-years-old-0-7l?variant=50038793011537&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",0,1,1,0,0,0,1
"Germany","Friedrichshafen","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHammaSf2PjQCWWJ8P36CqMx7pZWpHELFCqA0WXqMNKtQPULw28EA5JTZJw_aem_gr70QBA31rhu79GBUjyNDw",0,1,1,0,0,0,1
"Germany","Gevelsberg","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHfGa_Ov8TjpoRTIe8g-o-BISQOn26JWeS-nGTEYflE2A6Eki0iWWmVFu3A_aem_OKu78lCEjn8Gjk1oqBGF1Q",588,24,0,0,0,0,1
"Germany","Freising","2025-03-01","alphabet","https://www.whiskyquartier.de/products/glenfiddich-experimental-series-project-xx-0-7l?variant=50038819029329&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",15,1,0,1,0,0,1
"Germany","Munich","2025-03-01","direct","https://www.whiskyquartier.de/collections/deutsche-whiskys",0,1,1,0,0,0,1
"Germany","Memmingen","2025-03-01","alphabet","https://www.whiskyquartier.de/products/yamazaki-0-7l?variant=49827462545745&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",0,1,1,0,0,0,1
"Germany","Frankfurt am Main","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHXYXM6fni-nbrDPphjO1W-ZjcBW3ik6yF3Sinsl31YmwZjVsGtqYctfBig_aem_2kDvFVbk_cJayt2Ag13v5g",0,1,1,0,0,0,1
"Germany","Geislingen an der Steige","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHRVHdx-ZqLB6j9lP16nxSQwI19NnLdezUsGLLNZ2g7LrNsLYB-v8_L39yg_aem_Ia_hzFT4ipqN1AaPhM1Tiw",0,1,1,0,0,0,1
"Germany","Krefeld","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHRumjYNCjWwb7hw0JyaTSs8WlYz54RzsoUuE3NO2UA5sfioZPpzSRkFr1Q_aem_fRAYDp_sXnHrVr8YKdQgBg",74,3,0,0,0,0,1
"Slovakia","Nitra","2025-03-01","whiskybase","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l",381,5,0,0,0,0,1
"Belgium","Brussels","2025-03-01","alphabet","https://www.whiskyquartier.de/products/macallan-folio-8-0-7l?srsltid=AfmBOorxYsSQHhjqc8P-ZDysDMkfFqibyRo2CD2e7Bth8PvJz1OD3jNt",0,1,1,0,0,0,1
"Germany","Bochum","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBprgXTdLCapuCDxgVc2Cvq2lb5b2dFaovGAJLVHIyZALECoeTEEMLHSNyFQ_aem_IBRR9jrOxM20oYyKGmrA1g",0,1,1,0,0,0,1
"Germany","Nuremberg","2025-03-01","alphabet","https://www.whiskyquartier.de/",0,1,1,0,0,0,1
"Austria","Oberschützen","2025-03-01","direct","https://www.whiskyquartier.de/products/glenfiddich-experimental-series-project-xx-0-7l",0,1,2,0,0,0,2
"Germany","Aurich","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwY2xjawJH2QRleHRuA2FlbQEwAGFkaWQAAAYbueMGZwEdkxTbPJFDzVLUwOIWejZL2M4V_KjCnLQzG_Q5bJT1K5HQ6BPRXU0kKx-L_aem_Q5xsH9ASiiyCnRmNGdpVOg",0,1,1,0,0,0,1
"Germany","Espelkamp","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHQODWKVY4aU_S0xUvh5bg3i3JrQo-mLsbMfuYMZMY4oqZRpf9EO_tgn5ug_aem_xEf38kQRKGlDLdeefvDfxw",0,1,1,0,0,0,1
"Germany","Kassel","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHbpHmZLBAHU7z2wCaB31HnQ5CPfe2aaeF4m2QqURz5Lon_slCy6ut3K5qw_aem_Qr8omVsWoyqGOu36q4xATg",23,2,0,0,0,0,1
"Germany","Flörsheim","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHXgM508qdXcSGK7tggT1KGT-aCRMsepFRmzqyM7h1Yi0l8T2u2qqttscMg_aem_i1E5sL9yEWKzvi7N3E_U1g",0,1,1,0,0,0,1
"Germany","Neubrandenburg","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHTZMOLLsBiVeT1qfp0hSjhc1l94tyI8waDYyDZdgbL05s4ITxmB61o_H1g_aem_0sMBUHU7Mi1MDcsKNnQqjA",0,1,1,0,0,0,1
"Germany","Dortmund","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHThMUxZ8fb8-6S_CCzkXNuenSPOJ4fPR3Z3wAyIiKf_46Ff37ShKHFJSgw_aem_wqW3If5maTzk8ObCKFZuow",0,1,1,0,0,0,1
"Germany","Cologne","2025-03-01","alphabet","https://www.whiskyquartier.de/products/macallan-folio-8-0-7l?srsltid=AfmBOopY5QgiPCECYsChTZI-KtyB4sdQHSskZ24VckfAIU4Ff9TbKapE",0,1,1,0,0,0,1
"Ukraine","Kyiv","2025-03-01","whiskybase","https://www.whiskyquartier.de/products/glenturret-12-yo-2024-0-7l",102,4,0,1,0,0,1
"Switzerland","Spreitenbach","2025-03-01","whiskybase","https://www.whiskyquartier.de/products/suntory-hibiki-100th-anniversary-0-7l-kopie",0,1,2,0,0,0,2
"Germany","Langenzenn","2025-03-01","direct","https://www.whiskyquartier.de/",0,1,2,0,0,0,2
"Russia","Yekaterinburg","2025-03-01","direct","https://www.whiskyquartier.de/",0,1,1,0,0,0,1
"Germany","Griesheim","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHT5AXMwpyb83DexQmJtNcnkReUEN7pqsnwE3PRKwiRmgd6m0atbU4GRb3g_aem_CNN8w_MqdgrZrIG2ZQV93A",0,1,1,0,0,0,1
"Germany","Nuremberg","2025-03-01","direct","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l",0,1,3,0,0,0,3
"Germany","Leipzig","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwY2xjawJT9BlleHRuA2FlbQEwAGFkaWQAAAYdReKW7wEdUlN23Y6-Dg1bJJDu-nBuW373cOx48bRHhO90Sh1XwlTBabW3eeSQ5o1I_aem_hqfl8vmTZD2b9YIlWMyIvw",0,1,1,0,0,0,1
"Germany","Radebeul","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHZy2pil095s043xiZj5El8HNILMaBlG14nZ0_QfUvbEEDmCKkXbMLJqtHg_aem_ObMKBb0QRp-WxYnKksu24w",0,1,1,0,0,0,1
"Germany","Moers","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHXEJWvbPEgiiW2xzDTw2TU8QvXr1YZEcGe7vHGbm_MrJo2Omby3E__VSHg_aem_9VqTlQ4NpRcscH3BgIBRTg",179,4,0,0,0,0,1
"Germany","Bochum","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHYeg6SKUqW4_DjujVRRuC9pxOTDvBPxf4Mfm1DDBPyeCyTqdxGjd4vgwEw_aem_5wqtho2FEg3M-Emr6fWlrw",0,1,1,0,0,0,1
"Germany","Nuremberg","2025-03-01","direct","https://www.whiskyquartier.de/products/st-kilian-judas-priest-50-heavy-metal-years-edt-0-7l",0,1,1,0,0,0,1
"Germany","Rostock","2025-03-01","whiskybase","https://www.whiskyquartier.de/products/concept-no-2-0-7l",0,1,1,0,0,0,1
"Germany","Rösrath","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BpjK_EtVqOTI0-kO3K3gD3TyIaLmNJ3aCV5YwdkZY4iEtesDjl9TRb6XDUw_aem_EzUiZxfrWix6h7Es8w5pnw",0,1,1,0,0,0,1
"Germany","Fürth","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHao5oLnENAOyyqT0vNXPvWyosVyLM2qF8acdPiYIdjL9fVGZH7n2zEk6pQ_aem_iYZwjW-IWD0OGBqkNfPI9g",0,1,1,0,0,0,1
"Slovakia","Dunajská Streda","2025-03-01","alphabet","https://www.whiskyquartier.de/products/edition-no-6-0-7l?srsltid=AfmBOoopDtGrvdlLK4nc7rro4ich-QlJtHafg_UujuKwm_ag_YpmxHtI",0,1,1,0,0,0,1
"Switzerland","Zurich","2025-03-01","direct","https://www.whiskyquartier.de/products/quest-collection-quest-1l",0,1,1,0,0,0,1
"Germany","Bamberg","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHZokrpXcZMO9jdP0Dal2EkqoNPnCK29c8eIfyfgmN_jIzAgZlXYhNb-2RQ_aem_P7zPKPPqpWgjWUA-29z_Ng",0,1,1,0,0,0,1
"Germany","Neumarkt in der Oberpfalz","2025-03-01","direct","https://www.whiskyquartier.de/",51,4,0,0,0,0,1
"Germany","Dortmund","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHQex8LU3Wji5oopwfzQeJIwWmiFcMl9AK1rNQ0UexntXAiATX-ulh7PbWQ_aem_irrigrC3mKUV68QOuE_uZQ",0,1,1,0,0,0,1
"Germany","Ansbach","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHQCMLuDfWhWFurKpTUDt4IMI8a2bBjIJPSf6K_TwGdHC_HmKmusfWcpAdg_aem_smxKxmQIaFDnRI9nv324Hg",0,1,1,0,0,0,1
"Germany","Schnaittach","2025-03-01","alphabet","https://www.whiskyquartier.de/products/dingle-single-cask-the-village-2025-0-7l?srsltid=AfmBOopFCMaheQpD-OtJEaeQdBNkpKdmuYwDBVQgzCOAwNzlqo_hEgcU",0,1,1,0,0,0,1
"Germany","Göppingen","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHdRHNJ1kOSvuC5pbjdnoZ5VUdZWQ8Kg_mxQGJ8ZnCZcjCL2thXCql2dVqA_aem_vatUrh0jP3W8XsUhaw0sWQ",0,1,1,0,0,0,1
"Germany","Barth","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHVZ7yQGI8_W8q-eX1zOcU6lFWQO2NP0N5dtnnJ62WyWMUNOPFU0wah2CVw_aem_jm8hqCoiRL5K_DHS2ROYVg",86,4,0,0,0,0,1
"Germany",,"2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHSMrVHg2c4hTKrj-rD28p9HcWqwMbHZ3_bqZLiHk1gu8Pl5sctJctVf1fg_aem_P5slpcFZwHk7uCB9hzX-Mg",0,1,1,0,0,0,1
"Germany","Ahaus","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHQZ2dr-mm6fBDp4uis_nZYPCnPUGBVtLyTNFTZdZKMPuZ34X3K7oZ_RmZA_aem_YIc2iUkIRGFsyyrRdl9BDA",0,1,1,0,0,0,1
"Germany","Burgthann","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=PAZXh0bgNhZW0CMTEAAaZGsqSBtvHkCEcWjS1ytk6EBNIPx3DcKKvw0QVuqk-3s9Xm7IcI4DHoGyQ_aem_IUcQKnW5Y107MMDqAwrCdQ",42,3,0,0,0,0,1
"Germany","Berlin","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHYcN8bGKNhdd7sDsOawjWYXPVNptBw9nI6oxd9oCvQs7MXNudu4kdO0O3A_aem_DJczhIGjpT8nUECU432yQQ",0,1,1,0,0,0,1
"Germany","Fürth","2025-03-01","direct","https://www.whiskyquartier.de/search?options%5Bprefix%5D=last&page=2&q=macallan",2,3,0,0,0,0,1
"Germany","Stuttgart","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHaW-rQhxqjNlgsmuXsmvPADRGXqVqPi3Zt51sFzgKeh8LFFsDVLEGHtf1A_aem_cEPLOmHpoEkoejAGLk2hgQ",71,3,0,0,0,0,1
"Germany","Bremen","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHQB-GY1QbyGIOIMb0E6OtD6Td5fESGRhU2gacqJyypn7h6dZs5JaDCi7fQ_aem_9B9_9kX5YA6BP1cMciLBKQ",0,1,1,0,0,0,1
"Germany","Berlin","2025-03-01","alphabet","https://www.whiskyquartier.de/products/glenfiddich-15-years-old-0-7l?variant=50038793011537&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",116,4,0,0,0,0,1
"Germany","Bramsche","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BpsedMrTdjfVkfg2H4bATWp-tvWdkNYEO8ApKDbCQth8c8wYcN63OazBS_Q_aem_ZqDcTNDAB3i_C1Dh1pMRJg",0,1,1,0,0,0,1
"Germany","Salzgitter","2025-03-01","direct","https://www.whiskyquartier.de/collections/islay-whisky-schottland",374,3,0,0,0,0,1
"Maldives","Male","2025-03-01","alphabet","https://www.whiskyquartier.de/products/birkenhof-fading-hill-warehouse-selection-0-7l",0,1,2,0,0,0,2
"Germany","Munich","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHYOtWgtD8PB7MnBqAZIun_D2nFJjVg6n9Q1PRChFhhH81xq2NRvWbtpM8A_aem_zO194UwY67-TzaRV4yo7kw",124,6,0,0,0,0,1
"Slovakia","Nitra","2025-03-01","direct","https://www.whiskyquartier.de/products/managers-dram-release-no-2-701-750-0-7l",293,3,1,0,0,0,4
"Italy","Venice","2025-03-01","whiskybase","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l",0,1,1,0,0,0,1
"Germany","Kahla","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHdUxgWtOW1oJHSm7e9fjoP1fzgpXsGP0i0B-ctiA18qc2zYNt-ZLOdYTiw_aem_jEMxjRacaOXTeydQ_04TnQ",120,3,0,0,0,0,1
"Germany","Hamburg","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHafyhlS1_GL3G4vJ7BPvwB6yWsBWyN_setU5zUV_fyk9ovL1rQcfKm1wig_aem_jrv78ccBsdiqBiPYQb4oKA",0,1,1,0,0,0,1
"Poland","Wyszków","2025-03-01","whiskybase","https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l",0,1,1,0,0,0,1
"Austria","Elixhausen","2025-03-01","alphabet","https://www.whiskyquartier.de/products/macallan-folio-8-0-7l?srsltid=AfmBOoqKBxYNv_BSuKiOItPn8UroZ1roaepyXCvn6aN-51lOSsXNja69",0,1,1,0,0,0,1
"Germany","Mannheim","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHf62ys05kC_SYio_9C3sFZQLWg9NBcu6x14VcatxzHSiQQbhh5gAcJskwA_aem_DSLkoX4tOm5XxgHrf2y0ag",0,1,1,0,0,0,1
"Germany","Schwelm","2025-03-01","meta","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGHUXilu8BHay_3KSllOnAVDcZWWV2dIifz6jo85StJ_SKvM0n8IfnjjlVGZ5Gkvg2-w_aem_3hRTFHyxY_2e56qH8T_3AA",0,1,1,0,0,0,1
"Germany","Nuremberg","2025-03-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGG7njBmcBHQaEGsB3NTC-of1MEYtv95cTtEu9f-lmcKtQQ_c0vI8gj4X-acNFjaHCzA_aem_0EwKskbQNaYqjoI8vzv4AQ",0,1,1,0,0,0,1
